image_index,image_name,frame_id,px,py,pz,qx,qy,qz,qw
0,img_0000_pose_0000.png,world,1.17,0.093084,1.48522,0.706699,-0.706685,0.0242667,0.0241727
1,img_0001_pose_0001.png,world,1.15676,0.0909968,1.48517,-0.706459,0.706922,-0.0305421,-0.0156048
2,img_0002_pose_0002.png,world,1.14473,0.0848698,1.48515,-0.7063,0.707083,-0.0338344,-0.00539688
3,img_0003_pose_0003.png,world,1.13521,0.0753436,1.48515,-0.706275,0.707108,-0.0338412,0.00531056
4,img_0004_pose_0004.png,world,1.1291,0.0633777,1.48512,-0.706423,0.706961,-0.0305557,0.0154541
5,img_0005_pose_0005.png,world,1.12698,0.0500608,1.48525,-0.706662,0.70672,-0.0242908,0.0242008
6,img_0006_pose_0006.png,world,1.12901,0.0367331,1.48518,0.706919,-0.706463,0.0156301,-0.0305027
7,img_0007_pose_0007.png,world,1.13507,0.0247088,1.48508,0.707065,-0.706321,0.00539121,-0.0337729
8,img_0008_pose_0008.png,world,1.1446,0.0151989,1.4852,0.707063,-0.706318,-0.00525507,-0.0338955
9,img_0009_pose_0009.png,world,1.15664,0.00904325,1.48516,0.706916,-0.706467,-0.0155109,-0.0305519
10,img_0010_pose_0010.png,world,1.16993,0.00692534,1.48517,-0.706676,0.706706,0.024218,0.0242678
11,img_0011_pose_0011.png,world,1.18324,0.00902104,1.48519,-0.706443,0.70694,0.0305183,0.0155994
12,img_0012_pose_0012.png,world,1.19523,0.0151484,1.48513,-0.706309,0.707073,0.0338756,0.00535293
13,img_0013_pose_0013.png,world,1.20477,0.0246257,1.48518,-0.706299,0.707083,0.0338676,-0.00531552
14,img_0014_pose_0014.png,world,1.2109,0.0366248,1.48524,-0.706464,0.706921,0.0305208,-0.0154944
15,img_0015_pose_0015.png,world,1.21301,0.0499011,1.48509,0.706694,-0.706686,-0.0242975,0.024249
16,img_0016_pose_0016.png,world,1.211,0.0632485,1.48516,0.706952,-0.706431,-0.0156225,0.0305044
17,img_0017_pose_0017.png,world,1.20493,0.0752617,1.48514,0.7071,-0.706282,-0.0054698,0.0338506
18,img_0018_pose_0018.png,world,1.19539,0.0847928,1.48515,0.707101,-0.70628,0.00530103,0.0338877
19,img_0019_pose_0019.png,world,1.18339,0.0909647,1.48513,0.706943,-0.706438,0.0155163,0.0305922
20,img_0020_pose_0020.png,world,1.15029,0.174687,1.46299,-0.702205,0.704535,-0.0831817,-0.0601628
21,img_0021_pose_0021.png,world,1.11272,0.162564,1.46284,-0.700322,0.706397,-0.0978122,-0.031396
22,img_0022_pose_0022.png,world,1.08074,0.139332,1.46285,-0.699618,0.707096,-0.102717,0.000459669
23,img_0023_pose_0023.png,world,1.05753,0.107374,1.46289,-0.700322,0.706399,-0.097572,0.0320963
24,img_0024_pose_0024.png,world,1.04532,0.069809,1.4629,-0.702191,0.704541,-0.0830307,0.0604615
25,img_0025_pose_0025.png,world,1.04528,0.0302668,1.46288,0.704469,-0.702262,0.0605584,-0.0829703
26,img_0026_pose_0026.png,world,1.05742,-0.00734909,1.46276,0.706338,-0.700394,0.0321681,-0.0974673
27,img_0027_pose_0027.png,world,1.08062,-0.0392515,1.46283,0.707074,-0.699641,0.000577597,-0.102707
28,img_0028_pose_0028.png,world,1.11261,-0.0624789,1.46294,0.706386,-0.70033,-0.031226,-0.0978842
29,img_0029_pose_0029.png,world,1.15017,-0.0747217,1.46287,0.704524,-0.702207,-0.0602007,-0.0832342
30,img_0030_pose_0030.png,world,1.18968,-0.0747183,1.46288,-0.702197,0.704532,0.0831956,0.0602658
31,img_0031_pose_0031.png,world,1.22727,-0.0625384,1.46294,-0.700303,0.70642,0.0977851,0.0313882
32,img_0032_pose_0032.png,world,1.25922,-0.0393321,1.46291,-0.699608,0.707109,0.102694,-0.000506974
33,img_0033_pose_0033.png,world,1.28244,-0.00742423,1.46296,-0.700348,0.706378,0.0975491,-0.0320494
34,img_0034_pose_0034.png,world,1.29465,0.0301215,1.46291,-0.70223,0.704505,0.0830281,-0.0604374
35,img_0035_pose_0035.png,world,1.29472,0.0696502,1.4629,0.704518,-0.702216,-0.0605653,0.0829448
36,img_0036_pose_0036.png,world,1.28261,0.107257,1.46288,0.706372,-0.70035,-0.0322329,0.0975177
37,img_0037_pose_0037.png,world,1.25938,0.139246,1.46285,0.707118,-0.699593,-0.000623795,0.102734
38,img_0038_pose_0038.png,world,1.22741,0.162497,1.46284,0.706415,-0.700299,0.0312799,0.0978841
39,img_0039_pose_0039.png,world,1.18981,0.174697,1.46283,0.704553,-0.702173,0.0601847,0.0832767
40,img_0040_pose_0040.png,world,1.17005,0.250865,1.41995,0.696735,-0.696707,0.120788,0.120706
41,img_0041_pose_0041.png,world,1.10798,0.241078,1.41975,-0.690388,0.702969,-0.152911,-0.0762705
42,img_0042_pose_0042.png,world,1.05198,0.212571,1.41982,-0.686597,0.706673,-0.169133,-0.024339
43,img_0043_pose_0043.png,world,1.00751,0.168114,1.41976,-0.686777,0.706506,-0.168358,0.0290186
44,img_0044_pose_0044.png,world,0.979007,0.112112,1.41987,-0.69063,0.702732,-0.151584,0.0788658
45,img_0045_pose_0045.png,world,0.96915,0.0500371,1.4199,-0.69666,0.696751,-0.12086,0.120811
46,img_0046_pose_0046.png,world,0.978937,-0.0120662,1.41978,0.702655,-0.690719,0.0788906,-0.151525
47,img_0047_pose_0047.png,world,1.00738,-0.0680728,1.41965,0.706474,-0.686833,0.0290852,-0.168253
48,img_0048_pose_0048.png,world,1.05186,-0.112512,1.41979,0.706656,-0.68662,-0.0242444,-0.169123
49,img_0049_pose_0049.png,world,1.10787,-0.141032,1.41981,0.70298,-0.690385,-0.0761311,-0.152944
50,img_0050_pose_0050.png,world,1.16993,-0.150883,1.41981,0.696713,-0.696704,-0.120796,-0.120843
51,img_0051_pose_0051.png,world,1.232,-0.141083,1.41985,-0.690369,0.702994,0.152892,0.0762521
52,img_0052_pose_0052.png,world,1.28799,-0.112577,1.41984,-0.686585,0.706693,0.169095,0.0243501
53,img_0053_pose_0053.png,world,1.33245,-0.0681958,1.41983,-0.686748,0.706533,0.168362,-0.0290341
54,img_0054_pose_0054.png,world,1.36099,-0.0122148,1.41988,-0.690663,0.702713,0.151563,-0.0787893
55,img_0055_pose_0055.png,world,1.37084,0.0498361,1.41983,-0.696697,0.696724,0.120871,-0.120746
56,img_0056_pose_0056.png,world,1.36108,0.111965,1.4198,0.702675,-0.690693,-0.0789324,0.151526
57,img_0057_pose_0057.png,world,1.3326,0.168001,1.41969,0.706492,-0.686771,-0.0292234,0.168404
58,img_0058_pose_0058.png,world,1.28815,0.212442,1.4197,0.706684,-0.686572,0.0241873,0.169206
59,img_0059_pose_0059.png,world,1.23215,0.240994,1.41971,0.703003,-0.690346,0.0760827,0.153038
60,img_0060_pose_0060.png,world,1.1291,0.308573,1.35887,-0.679911,0.693433,-0.194275,-0.138311
61,img_0061_pose_0061.png,world,1.05117,0.28331,1.35887,-0.669152,0.703814,-0.228599,-0.0680034
62,img_0062_pose_0062.png,world,0.984926,0.235174,1.35893,-0.665708,0.707078,-0.238375,0.00716251
63,img_0063_pose_0063.png,world,0.936766,0.168874,1.3589,-0.670306,0.70272,-0.225028,0.0789753
64,img_0064_pose_0064.png,world,0.911461,0.0909904,1.35898,-0.680573,0.692766,-0.191741,0.141888
65,img_0065_pose_0065.png,world,0.911425,0.00906245,1.3589,0.6927,-0.680666,0.141884,-0.191652
66,img_0066_pose_0066.png,world,0.936686,-0.068862,1.35881,0.702632,-0.670417,0.0790063,-0.22496
67,img_0067_pose_0067.png,world,0.984802,-0.13513,1.35882,0.707044,-0.665755,0.00716967,-0.238342
68,img_0068_pose_0068.png,world,1.05107,-0.183267,1.35887,0.703827,-0.669147,-0.0679128,-0.228598
69,img_0069_pose_0069.png,world,1.12897,-0.208568,1.35889,0.693474,-0.679866,-0.138234,-0.194341
70,img_0070_pose_0070.png,world,1.21088,-0.208582,1.3589,-0.679894,0.693446,0.194293,0.138302
71,img_0071_pose_0071.png,world,1.2888,-0.18329,1.35899,-0.669162,0.703822,0.228535,0.0680369
72,img_0072_pose_0072.png,world,1.35505,-0.135215,1.35894,-0.665706,0.707083,0.238366,-0.00709378
73,img_0073_pose_0073.png,world,1.40321,-0.068959,1.35896,-0.670347,0.702688,0.225018,-0.0789406
74,img_0074_pose_0074.png,world,1.42851,0.00888283,1.35903,-0.680621,0.692758,0.191706,-0.141743
75,img_0075_pose_0075.png,world,1.42856,0.0908031,1.35887,0.692712,-0.680634,-0.141955,0.191668
76,img_0076_pose_0076.png,world,1.40336,0.168735,1.35886,0.702668,-0.670357,-0.0791038,0.224992
77,img_0077_pose_0077.png,world,1.35521,0.235029,1.3588,0.707048,-0.665719,-0.00725055,0.23843
78,img_0078_pose_0078.png,world,1.28895,0.28322,1.35883,0.703826,-0.669129,0.0678856,0.228665
79,img_0079_pose_0079.png,world,1.21103,0.308573,1.35886,0.69347,-0.679864,0.138224,0.194366
80,img_0080_pose_0080.png,world,1.17007,0.354821,1.2844,-0.673313,0.673345,-0.215922,-0.21595
81,img_0081_pose_0081.png,world,1.07583,0.339971,1.28422,-0.650805,0.695078,-0.276555,-0.129757
82,img_0082_pose_0082.png,world,0.990821,0.296695,1.28426,-0.638595,0.706322,-0.303711,-0.0326312
83,img_0083_pose_0083.png,world,0.92339,0.229284,1.28434,-0.640737,0.704386,-0.29909,0.0619796
84,img_0084_pose_0084.png,world,0.880078,0.144243,1.28437,-0.654229,0.691856,-0.268201,0.146248
85,img_0085_pose_0085.png,world,0.865157,0.0500184,1.28435,-0.673256,0.673358,-0.216033,0.215976
86,img_0086_pose_0086.png,world,0.880018,-0.0442201,1.28423,0.69179,-0.654339,0.146201,-0.268128
87,img_0087_pose_0087.png,world,0.923291,-0.129212,1.2842,0.704359,-0.640788,0.0619677,-0.299046
88,img_0088_pose_0088.png,world,0.990723,-0.196651,1.28424,0.706324,-0.638603,-0.032511,-0.303703
89,img_0089_pose_0089.png,world,1.07572,-0.239938,1.28424,0.69512,-0.65077,-0.129638,-0.276587
90,img_0090_pose_0090.png,world,1.16993,-0.254875,1.28427,0.673311,-0.673307,-0.215992,-0.216003
91,img_0091_pose_0091.png,world,1.26415,-0.239988,1.28434,-0.650777,0.695127,0.276526,0.129696
92,img_0092_pose_0092.png,world,1.34913,-0.19672,1.28436,-0.638552,0.706373,0.30369,0.0325889
93,img_0093_pose_0093.png,world,1.41659,-0.129318,1.28436,-0.640729,0.704403,0.299084,-0.0619018
94,img_0094_pose_0094.png,world,1.45991,-0.0443863,1.28436,-0.654244,0.691865,0.268219,-0.146105
95,img_0095_pose_0095.png,world,1.47483,0.0498487,1.28437,-0.673311,0.67333,0.216035,-0.215889
96,img_0096_pose_0096.png,world,1.46001,0.144087,1.28431,0.691822,-0.654297,-0.146274,0.268107
97,img_0097_pose_0097.png,world,1.41671,0.229082,1.28416,0.704349,-0.640728,-0.0621384,0.299164
98,img_0098_pose_0098.png,world,1.3493,0.29656,1.28417,0.706332,-0.638562,0.0324245,0.30378
99,img_0099_pose_0099.png,world,1.26429,0.339917,1.2842,0.695129,-0.650742,0.12957,0.276663
